Dry Reading,Time(s)
13728,0
13632,1
13632,2
13632,3
13648,4
13632,5
13632,6
13632,7
13664,8
13664,9
13664,10
13664,11
13680,12
13680,13
13680,14
13680,15
13680,16
13680,17
13680,18
13680,19
13696,20
13696,21
13696,22
13680,23
13680,24
13680,25
13696,26
13680,27
13680,28
13680,29
13696,30
13712,31
13712,32
13712,33
13712,34
13712,35
13712,36
13712,37
13712,38
13712,39
13712,40
13712,41
13728,42
13728,43
13728,44
13728,45
13728,46
13728,47
13728,48
13744,49
13744,50
13744,51
13744,52
13744,53
13744,54
13744,55
13744,56
13744,57
13744,58
13744,59
