Wet Reading,Control Material: Wet Soil
Time,Sensor1,Sensor2,Sensor3
1,8528,8496,13072
2,8528,8496,13200
3,8528,8496,13392
4,8512,8496,12768
5,8512,8496,12976
6,8512,8496,12896
7,8512,8496,12784
8,8512,8496,12928
9,8512,8496,13008
10,8512,8496,12304
11,8512,8496,12544
12,8512,8496,12352
13,8512,8496,13632
14,8512,8496,13216
15,8512,8496,13312
16,8512,8496,13056
17,8512,8496,12560
18,8512,8496,13168
19,8512,8496,13264
20,8512,8496,12352
21,8512,8480,12864
22,8512,8480,12528
23,8512,8480,12496
24,8512,8480,12400
25,8512,8480,12336
26,8512,8480,12192
27,8512,8480,12064
28,8512,8496,12064
29,8512,8480,12032
30,8512,8480,11824
31,8496,8496,12112
32,8512,8480,12112
33,8512,8496,11984
34,8512,8496,12048
35,8496,8480,11888
36,8496,8480,11856
37,8512,8480,11696
38,8496,8480,11600
39,8512,8480,11760
40,8512,8480,11776
41,8512,8480,11616
42,8512,8496,11616
43,8512,8480,12016
44,8496,8480,12000
45,8464,8448,11984
46,8464,8448,11760
47,8464,8432,11856
48,8464,8432,11616
49,8448,8432,12000
50,8448,8432,11520
51,8448,8432,11344
52,8448,8432,11072
53,8448,8432,10960
54,8448,8432,10816
55,8448,8432,10560
56,8448,8432,10784
57,8448,8432,10720
58,8448,8432,10880
59,8448,8432,11184
60,8448,8432,10800
