Dry Reading,Time(s)
5664,0
5712,1
5728,2
6064,3
6112,4
6048,5
6048,6
6064,7
6064,8
6064,9
6048,10
6048,11
6048,12
6048,13
6032,14
6032,15
6016,16
6000,17
6000,18
5984,19
5984,20
5920,21
5904,22
5920,23
5920,24
5904,25
5904,26
5888,27
5856,28
5840,29
5856,30
5856,31
5840,32
5840,33
5824,34
5808,35
5872,36
5808,37
5808,38
5808,39
6048,40
5792,41
5792,42
5792,43
5792,44
5776,45
5776,46
5776,47
5760,48
5776,49
5744,50
5696,51
5712,52
5696,53
5680,54
5648,55
5632,56
5616,57
5632,58
5616,59
